Name,Postal Code,"Poverty Percent, All Ages"
Orangeburg County,SC,25.9
Pickens County,SC,16.6
Richland County,SC,16.7
Saluda County,SC,14.9
Spartanburg County,SC,13.6
Sumter County,SC,18.7
Union County,SC,20.4
Williamsburg County,SC,26.0
York County,SC,9.8
Aurora County,SD,10.2
Beadle County,SD,12.9
Bennett County,SD,32.5
Bon Homme County,SD,15.7
Brookings County,SD,11.8
Brown County,SD,11.0
Brule County,SD,15.8
Buffalo County,SD,45.7
Butte County,SD,14.3
Campbell County,SD,10.9
Charles Mix County,SD,20.9
Clark County,SD,12.6
Clay County,SD,19.5
Codington County,SD,11.3
Corson County,SD,33.6
Custer County,SD,10.1
Davison County,SD,12.0
Day County,SD,15.3
Deuel County,SD,9.1
Dewey County,SD,25.8
Douglas County,SD,12.1
Edmunds County,SD,11.5
Fall River County,SD,13.0
Faulk County,SD,15.6
Grant County,SD,9.9
Gregory County,SD,16.5
Haakon County,SD,11.0
Hamlin County,SD,9.3
Hand County,SD,9.8
Hanson County,SD,8.8
Harding County,SD,10.7
Hughes County,SD,9.4
Hutchinson County,SD,11.5
Hyde County,SD,10.3
Jackson County,SD,32.7
Jerauld County,SD,14.5
Jones County,SD,13.2
Kingsbury County,SD,9.0
Lake County,SD,10.2
Lawrence County,SD,12.7
Lincoln County,SD,4.4
Lyman County,SD,21.1
McCook County,SD,9.6
McPherson County,SD,17.1
Marshall County,SD,12.0
Meade County,SD,8.4
Mellette County,SD,35.2
Miner County,SD,11.5
Minnehaha County,SD,9.6
Moody County,SD,9.9
Oglala Lakota County,SD,54.0
Pennington County,SD,13.3
Perkins County,SD,13.7
Potter County,SD,10.2
Roberts County,SD,21.3
Sanborn County,SD,12.9
Spink County,SD,12.6
Stanley County,SD,7.8
Sully County,SD,8.8
Todd County,SD,48.4
Tripp County,SD,19.9
Turner County,SD,9.4
Union County,SD,5.9
Walworth County,SD,15.0
Yankton County,SD,11.0
Ziebach County,SD,43.9
Anderson County,TN,16.5
Bedford County,TN,14.4
Benton County,TN,19.2
Bledsoe County,TN,26.7
Blount County,TN,9.9
Bradley County,TN,14.7
Campbell County,TN,21.6
Cannon County,TN,14.2
Carroll County,TN,18.6
Carter County,TN,19.1
Cheatham County,TN,10.3
Chester County,TN,15.9
Claiborne County,TN,23.4
Clay County,TN,21.0
Cocke County,TN,22.5
Coffee County,TN,15.9
Crockett County,TN,19.4
Cumberland County,TN,14.4
Davidson County,TN,15.4
Decatur County,TN,18.2
DeKalb County,TN,17.4
Dickson County,TN,13.8
Dyer County,TN,18.4
Fayette County,TN,13.1
Fentress County,TN,20.6
Franklin County,TN,16.0
Gibson County,TN,16.5
Giles County,TN,14.5
Grainger County,TN,18.4
Greene County,TN,15.1
Grundy County,TN,21.2
Hamblen County,TN,17.1
Hamilton County,TN,13.0
Hancock County,TN,29.9
Hardeman County,TN,23.5
Hardin County,TN,20.3
Hawkins County,TN,18.4
Haywood County,TN,20.5
Henderson County,TN,18.0
Henry County,TN,18.8
Hickman County,TN,16.3
Houston County,TN,16.7
Humphreys County,TN,13.6
Jackson County,TN,19.8
Jefferson County,TN,13.8
Johnson County,TN,20.7
Knox County,TN,13.2
Lake County,TN,36.5
Lauderdale County,TN,24.9
Lawrence County,TN,17.7
Lewis County,TN,17.5
Lincoln County,TN,14.4
Loudon County,TN,9.1
McMinn County,TN,15.9
McNairy County,TN,17.4
Macon County,TN,18.1
Madison County,TN,17.8
Marion County,TN,15.3
Marshall County,TN,14.1
Maury County,TN,10.8
Meigs County,TN,17.8
Monroe County,TN,15.7
Montgomery County,TN,12.0
Moore County,TN,9.1
Morgan County,TN,20.4
Obion County,TN,17.7
Overton County,TN,15.0
Perry County,TN,17.6
Pickett County,TN,16.0
Polk County,TN,15.8
Putnam County,TN,14.5
Rhea County,TN,18.4
Roane County,TN,14.8
Robertson County,TN,10.6
Rutherford County,TN,10.4
Scott County,TN,21.2
Sequatchie County,TN,16.0
Sevier County,TN,13.9
Shelby County,TN,21.7
Smith County,TN,13.9
Stewart County,TN,13.9
Sullivan County,TN,16.5
Sumner County,TN,8.9
Tipton County,TN,12.0
Trousdale County,TN,18.6
Unicoi County,TN,16.1
Union County,TN,19.8
Van Buren County,TN,16.3
Warren County,TN,22.5
Washington County,TN,14.9
Wayne County,TN,21.3
Weakley County,TN,19.7
White County,TN,17.3
Williamson County,TN,3.8
Wilson County,TN,7.8
Anderson County,TX,19.8
Andrews County,TX,10.7
Angelina County,TX,17.9
Aransas County,TX,19.9
Archer County,TX,10.6
Armstrong County,TX,10.7
Atascosa County,TX,15.7
Austin County,TX,10.2
Bailey County,TX,15.8
Bandera County,TX,13.4
Bastrop County,TX,12.6
Baylor County,TX,16.1
Bee County,TX,26.7
Bell County,TX,13.0
Bexar County,TX,17.2
Blanco County,TX,10.1
Borden County,TX,10.0
Bosque County,TX,14.9
Bowie County,TX,19.1
Brazoria County,TX,10.1
Brazos County,TX,23.2
Brewster County,TX,16.0
Briscoe County,TX,16.2
Brooks County,TX,31.0
Brown County,TX,13.2
Burleson County,TX,14.8
Burnet County,TX,11.0
Caldwell County,TX,14.1
Calhoun County,TX,14.2
Callahan County,TX,12.0
Cameron County,TX,27.9
Camp County,TX,18.8
Carson County,TX,8.9
Cass County,TX,20.4
Castro County,TX,17.5
Chambers County,TX,8.5
Cherokee County,TX,17.4
Childress County,TX,21.2
Clay County,TX,10.9
Cochran County,TX,21.9
Coke County,TX,14.1
Coleman County,TX,19.3
Collin County,TX,6.4
Collingsworth County,TX,17.3
Colorado County,TX,13.7
Comal County,TX,7.1
Comanche County,TX,16.4
Concho County,TX,26.6
Cooke County,TX,14.8
Coryell County,TX,15.0
Cottle County,TX,21.2
Crane County,TX,10.1
Crockett County,TX,15.3
Crosby County,TX,23.7
Culberson County,TX,20.3
Dallam County,TX,12.1
Dallas County,TX,14.2
Dawson County,TX,22.9
Deaf Smith County,TX,17.5
Delta County,TX,17.2
Denton County,TX,7.3
DeWitt County,TX,18.4
Dickens County,TX,20.3
Dimmit County,TX,24.6
Donley County,TX,18.6
Duval County,TX,25.5
Eastland County,TX,18.7
Ector County,TX,12.9
Edwards County,TX,22.1
Ellis County,TX,8.8
El Paso County,TX,20.5
Erath County,TX,18.1
Falls County,TX,21.7
Fannin County,TX,13.8
Fayette County,TX,13.3
Fisher County,TX,15.5
Floyd County,TX,21.0
Foard County,TX,18.0
Fort Bend County,TX,7.9
Franklin County,TX,15.2
Freestone County,TX,13.7
Frio County,TX,27.5
Gaines County,TX,15.4
Galveston County,TX,12.1
Garza County,TX,24.6
Gillespie County,TX,9.6
Glasscock County,TX,9.7
Goliad County,TX,14.4
Gonzales County,TX,16.9
Gray County,TX,16.7
Grayson County,TX,12.3
Gregg County,TX,15.1
Grimes County,TX,17.5
Guadalupe County,TX,8.5
Hale County,TX,18.4
Hall County,TX,24.1
Hamilton County,TX,14.7
Hansford County,TX,11.6
Hardeman County,TX,17.4
Hardin County,TX,12.4
Harris County,TX,16.5
Harrison County,TX,14.7
Hartley County,TX,9.5
Haskell County,TX,23.1
Hays County,TX,13.2
Hemphill County,TX,9.6
Henderson County,TX,19.4
Hidalgo County,TX,30.0
Hill County,TX,12.6
Hockley County,TX,19.5
Hood County,TX,10.2
Hopkins County,TX,14.6
Houston County,TX,26.1
Howard County,TX,20.6
Hudspeth County,TX,17.8
Hunt County,TX,13.6
Hutchinson County,TX,13.0
Irion County,TX,8.1
Jack County,TX,17.7
Jackson County,TX,12.9
Jasper County,TX,19.2
Jeff Davis County,TX,13.1
Jefferson County,TX,18.7
Jim Hogg County,TX,25.2
Jim Wells County,TX,21.2
Johnson County,TX,10.7
Jones County,TX,22.0
Karnes County,TX,21.8
Kaufman County,TX,11.5
Kendall County,TX,7.5
Kenedy County,TX,14.3
Kent County,TX,13.3
Kerr County,TX,13.9
Kimble County,TX,17.6
King County,TX,13.7
Kinney County,TX,21.1
Kleberg County,TX,25.0
Knox County,TX,20.4
Lamar County,TX,14.4
Lamb County,TX,20.0
Lampasas County,TX,12.9
La Salle County,TX,29.6
Lavaca County,TX,13.5
Lee County,TX,12.3
Leon County,TX,15.6
Liberty County,TX,15.1
Limestone County,TX,22.2
Lipscomb County,TX,12.0
Live Oak County,TX,18.7
Llano County,TX,12.3
Loving County,TX,3.3
Lubbock County,TX,17.6
Lynn County,TX,18.3
McCulloch County,TX,18.5
McLennan County,TX,18.9
McMullen County,TX,11.1
Madison County,TX,17.9
Marion County,TX,21.9
Martin County,TX,13.6
Mason County,TX,12.7
Matagorda County,TX,18.4
Maverick County,TX,25.9
Medina County,TX,12.3
Menard County,TX,21.6
Midland County,TX,10.1
Milam County,TX,15.6
Mills County,TX,14.6
Mitchell County,TX,21.4
Montague County,TX,13.8
Montgomery County,TX,9.3
Moore County,TX,12.2
Morris County,TX,20.2
Motley County,TX,17.8
Nacogdoches County,TX,21.6
Navarro County,TX,20.0
Newton County,TX,22.3
Nolan County,TX,18.2
Nueces County,TX,16.2
Ochiltree County,TX,10.5
Oldham County,TX,13.0
Orange County,TX,13.4
Palo Pinto County,TX,15.9
Panola County,TX,15.7
Parker County,TX,8.3
Parmer County,TX,13.5
Pecos County,TX,19.5
Polk County,TX,15.0
Potter County,TX,19.7
Presidio County,TX,22.4
Rains County,TX,14.5
Randall County,TX,8.5
Reagan County,TX,10.0
Real County,TX,18.1
Red River County,TX,18.2
Reeves County,TX,21.5
Refugio County,TX,16.3
Roberts County,TX,7.8
Robertson County,TX,15.8
Rockwall County,TX,5.1
Runnels County,TX,16.9
Rusk County,TX,16.4
Sabine County,TX,17.6
San Augustine County,TX,22.2
San Jacinto County,TX,17.5
San Patricio County,TX,17.3
San Saba County,TX,16.8
Schleicher County,TX,16.5
Scurry County,TX,15.8
Shackelford County,TX,13.4
Shelby County,TX,20.6
Sherman County,TX,12.1
Smith County,TX,15.0
Somervell County,TX,9.7
Starr County,TX,33.2
Stephens County,TX,19.4
Sterling County,TX,12.6
Stonewall County,TX,14.6
Sutton County,TX,14.2
Swisher County,TX,19.2
Tarrant County,TX,12.1
Taylor County,TX,16.0
Terrell County,TX,18.9
Terry County,TX,22.4
Throckmorton County,TX,14.3
Titus County,TX,18.6
Tom Green County,TX,15.5
Travis County,TX,12.0
Trinity County,TX,17.7
Tyler County,TX,18.2
Upshur County,TX,15.9
Upton County,TX,14.2
Uvalde County,TX,22.9
Val Verde County,TX,18.9
Van Zandt County,TX,15.6
Victoria County,TX,15.4
Walker County,TX,26.1
Waller County,TX,15.9
Ward County,TX,13.9
Washington County,TX,13.8
Webb County,TX,25.7
Wharton County,TX,16.8
Wheeler County,TX,14.0
Wichita County,TX,17.8
Wilbarger County,TX,15.3
Willacy County,TX,35.0
Williamson County,TX,6.4
Wilson County,TX,10.9
Winkler County,TX,14.1
Wise County,TX,9.9
Wood County,TX,15.3
Yoakum County,TX,12.1
Young County,TX,13.9
Zapata County,TX,32.1
Zavala County,TX,32.0
Beaver County,UT,9.4
Box Elder County,UT,7.3
Cache County,UT,12.9
Carbon County,UT,14.4
Daggett County,UT,6.5
Davis County,UT,5.7
Duchesne County,UT,11.9
Emery County,UT,12.5
Garfield County,UT,11.2
Grand County,UT,11.3
Iron County,UT,14.4
Juab County,UT,8.5
Kane County,UT,10.5
Millard County,UT,11.3
Morgan County,UT,4.0
Piute County,UT,18.6
Rich County,UT,8.9
Salt Lake County,UT,9.0
San Juan County,UT,22.6
Sanpete County,UT,14.8
Sevier County,UT,12.0
Summit County,UT,6.2
Tooele County,UT,6.8
Uintah County,UT,11.5
Utah County,UT,9.4
Wasatch County,UT,5.3
Washington County,UT,9.7
Wayne County,UT,12.9
Weber County,UT,9.4
Addison County,VT,8.9
Bennington County,VT,11.4
Caledonia County,VT,12.5
Chittenden County,VT,10.4
Essex County,VT,15.5
Franklin County,VT,11.1
Grand Isle County,VT,8.2
Lamoille County,VT,11.0
Orange County,VT,10.2
Orleans County,VT,12.2
Rutland County,VT,10.4
Washington County,VT,10.8
Windham County,VT,12.0
Windsor County,VT,9.6
Accomack County,VA,17.3
Albemarle County,VA,8.7
Alleghany County,VA,14.8
Amelia County,VA,9.9
Amherst County,VA,13.0
Appomattox County,VA,13.5
Arlington County,VA,6.3
Augusta County,VA,9.0
Bath County,VA,10.7
Bedford County,VA,10.4
Bland County,VA,14.1
Botetourt County,VA,7.4
Brunswick County,VA,22.5
Buchanan County,VA,27.6
Buckingham County,VA,20.2
Campbell County,VA,11.3
Caroline County,VA,9.7
Carroll County,VA,15.7
Charles City County,VA,12.3
Charlotte County,VA,19.3
Chesterfield County,VA,7.6
Clarke County,VA,6.5
Craig County,VA,11.9
Culpeper County,VA,8.7
Cumberland County,VA,15.7
Dickenson County,VA,25.2
Dinwiddie County,VA,12.5
Essex County,VA,13.7
Fairfax County,VA,6.1
Fauquier County,VA,6.1
Floyd County,VA,12.3
Fluvanna County,VA,6.9
Franklin County,VA,15.3
Frederick County,VA,7.0
Giles County,VA,12.4
Gloucester County,VA,9.1
Goochland County,VA,6.7
Grayson County,VA,18.4
Greene County,VA,8.1
Greensville County,VA,26.7
Halifax County,VA,14.5
Hanover County,VA,5.2
Henrico County,VA,9.0
Henry County,VA,20.0
Highland County,VA,12.7
Isle of Wight County,VA,9.2
James City County,VA,7.0
King and Queen County,VA,12.2
King George County,VA,6.8
King William County,VA,7.3
Lancaster County,VA,12.3
Lee County,VA,24.8
Loudoun County,VA,3.6
Louisa County,VA,11.3
Lunenburg County,VA,18.2
Madison County,VA,10.1
Mathews County,VA,9.3
Mecklenburg County,VA,18.7
Middlesex County,VA,12.7
Montgomery County,VA,24.1
Nelson County,VA,12.3
New Kent County,VA,5.2
Northampton County,VA,18.8
Northumberland County,VA,14.8
Nottoway County,VA,22.4
Orange County,VA,9.4
Page County,VA,13.9
Patrick County,VA,15.5
Pittsylvania County,VA,16.4
Powhatan County,VA,6.9
Prince Edward County,VA,20.0
Prince George County,VA,8.9
Prince William County,VA,6.4
Pulaski County,VA,14.6
Rappahannock County,VA,8.7
Richmond County,VA,15.9
Roanoke County,VA,6.7
Rockbridge County,VA,12.0
Rockingham County,VA,8.7
Russell County,VA,21.5
Scott County,VA,18.5
Shenandoah County,VA,10.4
Smyth County,VA,20.4
Southampton County,VA,14.7
Spotsylvania County,VA,7.5
Stafford County,VA,5.4
Surry County,VA,12.9
Sussex County,VA,22.9
Tazewell County,VA,18.2
Warren County,VA,10.3
Washington County,VA,15.2
Westmoreland County,VA,16.4
Wise County,VA,25.4
Wythe County,VA,15.4
York County,VA,5.5
Alexandria city,VA,10.1
Bristol city,VA,20.5
Buena Vista city,VA,15.2
Charlottesville city,VA,23.1
Chesapeake city,VA,8.5
Colonial Heights city,VA,10.0
Covington city,VA,15.4
Danville city,VA,25.6
Emporia city,VA,20.7
Fairfax city,VA,7.6
Falls Church city,VA,3.6
Franklin city,VA,18.3
Fredericksburg city,VA,14.5
Galax city,VA,21.7
Hampton city,VA,15.4
Harrisonburg city,VA,28.0
Hopewell city,VA,19.7
Lexington city,VA,23.8
Lynchburg city,VA,20.8
Manassas city,VA,8.4
Manassas Park city,VA,7.0
Martinsville city,VA,24.7
Newport News city,VA,15.2
Norfolk city,VA,19.7
Norton city,VA,20.8
Petersburg city,VA,24.1
Poquoson city,VA,5.1
Portsmouth city,VA,19.2
Radford city,VA,30.4
Richmond city,VA,22.3
Roanoke city,VA,20.2
Salem city,VA,9.7
Staunton city,VA,12.3
Suffolk city,VA,10.9
Virginia Beach city,VA,7.5
Waynesboro city,VA,15.1
Williamsburg city,VA,23.0
Winchester city,VA,15.3
Adams County,WA,15.6
Asotin County,WA,14.0
Benton County,WA,9.8
Chelan County,WA,10.9
Clallam County,WA,13.3
Clark County,WA,8.8
Columbia County,WA,13.3
Cowlitz County,WA,12.2
Douglas County,WA,10.4
Ferry County,WA,17.8
Franklin County,WA,13.4
Garfield County,WA,13.8
Grant County,WA,12.7
Grays Harbor County,WA,17.3
Island County,WA,7.5
Jefferson County,WA,12.7
King County,WA,9.2
Kitsap County,WA,9.1
Kittitas County,WA,15.8
Klickitat County,WA,12.7
Lewis County,WA,12.5
Lincoln County,WA,12.5
Mason County,WA,13.7
Okanogan County,WA,17.0
Pacific County,WA,15.4
Pend Oreille County,WA,15.0
Pierce County,WA,8.7
San Juan County,WA,10.2
Skagit County,WA,9.7
Skamania County,WA,11.7
Snohomish County,WA,7.5
Spokane County,WA,13.0
Stevens County,WA,13.5
Thurston County,WA,8.7
Wahkiakum County,WA,10.9
Walla Walla County,WA,13.3
Whatcom County,WA,14.9
Whitman County,WA,25.4
Yakima County,WA,16.5
Barbour County,WV,20.0
Berkeley County,WV,11.5
Boone County,WV,22.5
Braxton County,WV,21.6
Brooke County,WV,13.7
Cabell County,WV,19.3
Calhoun County,WV,22.8
Clay County,WV,25.1
Doddridge County,WV,19.0
Fayette County,WV,22.5
Gilmer County,WV,24.8
Grant County,WV,14.9
Greenbrier County,WV,15.8
Hampshire County,WV,20.0
Hancock County,WV,13.2
Hardy County,WV,12.9
Harrison County,WV,16.7
Jackson County,WV,16.7
Jefferson County,WV,9.7
Kanawha County,WV,17.1
Lewis County,WV,17.3
Lincoln County,WV,23.3
Logan County,WV,24.6
McDowell County,WV,35.4
Marion County,WV,16.6
Marshall County,WV,13.9
Mason County,WV,16.9
Mercer County,WV,22.7
Mineral County,WV,14.5
Mingo County,WV,27.0
Monongalia County,WV,18.3
Monroe County,WV,14.9
Morgan County,WV,10.8
Nicholas County,WV,19.0
Ohio County,WV,12.5
Pendleton County,WV,14.6
Pleasants County,WV,13.6
Pocahontas County,WV,17.5
Preston County,WV,16.2
Putnam County,WV,10.0
Raleigh County,WV,20.7
Randolph County,WV,19.4
Ritchie County,WV,17.2
Roane County,WV,22.1
Summers County,WV,26.9
Taylor County,WV,16.1
Tucker County,WV,13.5
Tyler County,WV,15.5
Upshur County,WV,19.0
Wayne County,WV,20.9
Webster County,WV,23.0
Wetzel County,WV,18.3
Wirt County,WV,18.7
Wood County,WV,15.0
Wyoming County,WV,24.1
Adams County,WI,15.3
Ashland County,WI,15.8
Barron County,WI,12.3
Bayfield County,WI,14.2
Brown County,WI,8.6
Buffalo County,WI,8.8
Burnett County,WI,10.7
Calumet County,WI,5.3
Chippewa County,WI,11.3
Clark County,WI,11.9
Columbia County,WI,7.6
Crawford County,WI,12.9
Dane County,WI,10.8
Dodge County,WI,8.9
Door County,WI,8.4
Douglas County,WI,11.7
Dunn County,WI,12.5
Eau Claire County,WI,12.9
Florence County,WI,11.9
Fond du Lac County,WI,9.5
Forest County,WI,14.7
Grant County,WI,14.0
Green County,WI,7.7
Green Lake County,WI,11.0
Iowa County,WI,8.2
Iron County,WI,13.2
Jackson County,WI,12.0
Jefferson County,WI,8.1
Juneau County,WI,13.4
Kenosha County,WI,12.0
Kewaunee County,WI,7.3
La Crosse County,WI,10.9
Lafayette County,WI,11.3
Langlade County,WI,12.7
Lincoln County,WI,10.6
Manitowoc County,WI,10.4
Marathon County,WI,7.5
Marinette County,WI,12.0
Marquette County,WI,10.8
Menominee County,WI,26.5
Milwaukee County,WI,19.1
Monroe County,WI,13.2
Oconto County,WI,9.2
Oneida County,WI,9.4
Outagamie County,WI,7.2
Ozaukee County,WI,4.2
Pepin County,WI,10.3
Pierce County,WI,8.5
Polk County,WI,9.6
Portage County,WI,11.3
Price County,WI,12.4
Racine County,WI,12.6
Richland County,WI,14.3
Rock County,WI,10.9
Rusk County,WI,14.3
St. Croix County,WI,4.7
Sauk County,WI,8.6
Sawyer County,WI,14.5
Shawano County,WI,9.6
Sheboygan County,WI,7.5
Taylor County,WI,10.3
Trempealeau County,WI,8.0
Vernon County,WI,13.6
Vilas County,WI,10.9
Walworth County,WI,10.1
Washburn County,WI,12.5
Washington County,WI,4.5
Waukesha County,WI,5.0
Waupaca County,WI,10.4
Waushara County,WI,10.9
Winnebago County,WI,10.4
Wood County,WI,10.1
Albany County,WY,20.4
Big Horn County,WY,13.0
Campbell County,WY,9.2
Carbon County,WY,13.4
Converse County,WY,9.5
Crook County,WY,8.2
Fremont County,WY,15.7
Goshen County,WY,12.9
Hot Springs County,WY,13.5
Johnson County,WY,10.3
Laramie County,WY,9.1
Lincoln County,WY,7.9
Natrona County,WY,9.9
Niobrara County,WY,13.6
Park County,WY,10.2
Platte County,WY,10.6
Sheridan County,WY,8.7
Sublette County,WY,6.8
Sweetwater County,WY,8.4
Teton County,WY,6.3
Uinta County,WY,10.0
Washakie County,WY,11.9
Weston County,WY,11.8
